"Comment","Designator","Footprint","LCSC Part #"
"1nF","C2,C1,C5,C6","C_1206_3216Metric","C9196"
"20p","C3,C4","C_0402_1005Metric","C1554"
"100n","C7,C9,C10,C8,C11","C_0402_1005Metric","C1525"
"Ferrite_Bead","FB3","L_0805_2012Metric","C1017"
"27k","R1","R_0402_1005Metric","C25771"
"1M","R2","R_0402_1005Metric","C26083"
"10k","R3","R_0402_1005Metric","C25744"
"200R","R4,R7","R_0402_1005Metric","C25087"
"1k","R5,R6","R_0402_1005Metric","C11702"
"13F-39MNL","T1","SOIC-16W-12_7.5x10.3mm_P1.27mm","C115949"
"RTL8019AS","U1","PQFP-100_14x20mm_P0.65mm","C10016"
"74LS138","U2","SOIC-16_3.9x9.9mm_P1.27mm","C5602"
"20MHz","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C110936"
